date,sensor_id,rainfall_mm,river_level_m
2026-06-01,S1,0.2,1.25
2026-06-01,S2,0.2,0.82
2026-06-01,S3,0.2,1.0
2026-06-01,S4,0.2,0.96
2026-06-01,S5,0.2,1.32
2026-06-01,S6,0.2,1.28
2026-06-01,S7,0.2,1.43
2026-06-01,S8,0.2,0.87
2026-06-02,S1,0.0,1.25
2026-06-02,S2,0.0,0.82
2026-06-02,S3,0.0,1.0
2026-06-02,S4,0.0,0.96
2026-06-02,S5,0.0,1.32
2026-06-02,S6,0.0,1.28
2026-06-02,S7,0.0,1.43
2026-06-02,S8,0.0,0.86
2026-06-03,S1,14.0,1.53
2026-06-03,S2,15.6,1.13
2026-06-03,S3,15.0,1.29
2026-06-03,S4,13.5,1.23
2026-06-03,S5,16.9,1.66
2026-06-03,S6,12.2,1.52
2026-06-03,S7,13.6,1.7
2026-06-03,S8,15.8,1.18
2026-06-04,S1,0.0,1.49
2026-06-04,S2,0.0,1.09
2026-06-04,S3,0.0,1.25
2026-06-04,S4,0.0,1.19
2026-06-04,S5,0.0,1.61
2026-06-04,S6,0.0,1.48
2026-06-04,S7,0.0,1.66
2026-06-04,S8,0.0,1.13
2026-06-05,S1,2.5,1.5
2026-06-05,S2,2.1,1.09
2026-06-05,S3,2.1,1.25
2026-06-05,S4,1.9,1.19
2026-06-05,S5,2.0,1.6
2026-06-05,S6,2.9,1.51
2026-06-05,S7,2.5,1.67
2026-06-05,S8,2.4,1.14
2026-06-06,S1,7.3,1.61
2026-06-06,S2,8.5,1.22
2026-06-06,S3,11.8,1.45
2026-06-06,S4,9.9,1.35
2026-06-06,S5,9.5,1.75
2026-06-06,S6,10.2,1.68
2026-06-06,S7,11.0,1.86
2026-06-06,S8,10.7,1.31
2026-06-07,S1,0.2,1.56
2026-06-07,S2,0.2,1.16
2026-06-07,S3,0.2,1.39
2026-06-07,S4,0.3,1.3
2026-06-07,S5,0.3,1.69
2026-06-07,S6,0.2,1.62
2026-06-07,S7,0.2,1.8
2026-06-07,S8,0.2,1.25
2026-06-08,S1,0.0,1.51
2026-06-08,S2,0.0,1.11
2026-06-08,S3,0.0,1.33
2026-06-08,S4,0.0,1.25
2026-06-08,S5,0.0,1.63
2026-06-08,S6,0.0,1.57
2026-06-08,S7,0.0,1.74
2026-06-08,S8,0.0,1.19
2026-06-09,S1,42.3,2.32
2026-06-09,S2,31.7,1.7
2026-06-09,S3,30.6,1.89
2026-06-09,S4,32.2,1.85
2026-06-09,S5,45.3,2.49
2026-06-09,S6,49.4,2.51
2026-06-09,S7,40.1,2.49
2026-06-09,S8,31.0,1.76
2026-06-10,S1,39.5,2.95
2026-06-10,S2,49.9,2.56
2026-06-10,S3,47.3,2.7
2026-06-10,S4,27.5,2.26
2026-06-10,S5,44.0,3.19
2026-06-10,S6,43.1,3.19
2026-06-10,S7,39.7,3.13
2026-06-10,S8,33.4,2.29
2026-06-11,S1,0.0,2.69
2026-06-11,S2,0.0,2.3
2026-06-11,S3,0.0,2.44
2026-06-11,S4,0.0,2.07
2026-06-11,S5,0.0,2.91
2026-06-11,S6,0.0,2.9
2026-06-11,S7,0.0,2.87
2026-06-11,S8,0.0,2.08
2026-06-12,S1,0.0,2.48
2026-06-12,S2,0.0,2.08
2026-06-12,S3,0.0,2.23
2026-06-12,S4,0.0,1.9
2026-06-12,S5,0.0,2.67
2026-06-12,S6,0.0,2.66
2026-06-12,S7,0.0,2.66
2026-06-12,S8,0.0,1.9
2026-06-13,S1,0.0,2.29
2026-06-13,S2,0.0,1.89
2026-06-13,S3,0.0,2.04
2026-06-13,S4,0.0,1.76
2026-06-13,S5,0.0,2.47
2026-06-13,S6,0.0,2.45
2026-06-13,S7,0.0,2.47
2026-06-13,S8,0.0,1.74
2026-06-14,S1,0.0,2.14
2026-06-14,S2,0.0,1.73
2026-06-14,S3,0.0,1.88
2026-06-14,S4,0.0,1.64
2026-06-14,S5,0.0,2.3
2026-06-14,S6,0.0,2.27
2026-06-14,S7,0.0,2.31
2026-06-14,S8,0.0,1.61
2026-06-15,S1,0.0,2.0
2026-06-15,S2,0.0,1.59
2026-06-15,S3,0.0,1.75
2026-06-15,S4,0.0,1.54
2026-06-15,S5,0.0,2.15
2026-06-15,S6,0.0,2.12
2026-06-15,S7,0.0,2.18
2026-06-15,S8,0.0,1.5
2026-06-16,S1,0.0,1.89
2026-06-16,S2,0.0,1.48
2026-06-16,S3,0.0,1.64
2026-06-16,S4,0.0,1.45
2026-06-16,S5,0.0,2.02
2026-06-16,S6,0.0,2.0
2026-06-16,S7,0.0,2.07
2026-06-16,S8,0.0,1.4
2026-06-17,S1,0.6,1.8
2026-06-17,S2,0.4,1.39
2026-06-17,S3,0.6,1.55
2026-06-17,S4,0.6,1.39
2026-06-17,S5,0.4,1.93
2026-06-17,S6,0.4,1.9
2026-06-17,S7,0.6,1.98
2026-06-17,S8,0.4,1.33
2026-06-18,S1,20.0,2.12
2026-06-18,S2,18.9,1.68
2026-06-18,S3,22.5,1.92
2026-06-18,S4,22.7,1.78
2026-06-18,S5,15.6,2.15
2026-06-18,S6,14.5,2.09
2026-06-18,S7,18.4,2.27
2026-06-18,S8,18.3,1.62
2026-06-19,S1,10.1,2.19
2026-06-19,S2,11.8,1.79
2026-06-19,S3,6.9,1.92
2026-06-19,S4,8.6,1.83
2026-06-19,S5,8.3,2.19
2026-06-19,S6,11.1,2.19
2026-06-19,S7,7.8,2.3
2026-06-19,S8,7.4,1.66
2026-06-20,S1,3.3,2.12
2026-06-20,S2,3.3,1.71
2026-06-20,S3,4.8,1.88
2026-06-20,S4,3.7,1.77
2026-06-20,S5,4.7,2.15
2026-06-20,S6,4.0,2.13
2026-06-20,S7,2.8,2.22
2026-06-20,S8,5.0,1.64
2026-06-21,S1,0.0,1.99
2026-06-21,S2,0.0,1.57
2026-06-21,S3,0.0,1.74
2026-06-21,S4,0.0,1.65
2026-06-21,S5,0.0,2.02
2026-06-21,S6,0.0,2.01
2026-06-21,S7,0.0,2.1
2026-06-21,S8,0.0,1.52
2026-06-22,S1,25.4,2.38
2026-06-22,S2,34.6,2.15
2026-06-22,S3,28.7,2.21
2026-06-22,S4,28.2,2.11
2026-06-22,S5,37.7,2.67
2026-06-22,S6,38.3,2.66
2026-06-22,S7,30.5,2.61
2026-06-22,S8,33.4,2.09
2026-06-23,S1,3.2,2.28
2026-06-23,S2,2.6,2.0
2026-06-23,S3,2.5,2.07
2026-06-23,S4,2.8,1.99
2026-06-23,S5,1.8,2.5
2026-06-23,S6,2.6,2.51
2026-06-23,S7,2.5,2.48
2026-06-23,S8,3.0,1.97
2026-06-24,S1,17.0,2.46
2026-06-24,S2,18.4,2.19
2026-06-24,S3,24.0,2.39
2026-06-24,S4,25.1,2.34
2026-06-24,S5,19.1,2.71
2026-06-24,S6,17.5,2.67
2026-06-24,S7,28.0,2.88
2026-06-24,S8,19.2,2.19
2026-06-25,S1,0.0,2.28
2026-06-25,S2,0.0,1.99
2026-06-25,S3,0.0,2.18
2026-06-25,S4,0.0,2.13
2026-06-25,S5,0.0,2.5
2026-06-25,S6,0.0,2.46
2026-06-25,S7,0.0,2.66
2026-06-25,S8,0.0,1.99
2026-06-26,S1,6.9,2.26
2026-06-26,S2,6.9,1.95
2026-06-26,S3,9.0,2.18
2026-06-26,S4,5.8,2.07
2026-06-26,S5,7.6,2.47
2026-06-26,S6,10.1,2.49
2026-06-26,S7,10.1,2.68
2026-06-26,S8,5.8,1.93
2026-06-27,S1,2.7,2.16
2026-06-27,S2,2.7,1.83
2026-06-27,S3,2.6,2.06
2026-06-27,S4,2.0,1.94
2026-06-27,S5,1.7,2.33
2026-06-27,S6,2.6,2.36
2026-06-27,S7,2.4,2.54
2026-06-27,S8,2.3,1.82
2026-06-28,S1,0.0,2.03
2026-06-28,S2,0.0,1.68
2026-06-28,S3,0.0,1.9
2026-06-28,S4,0.0,1.79
2026-06-28,S5,0.0,2.18
2026-06-28,S6,0.0,2.19
2026-06-28,S7,0.0,2.37
2026-06-28,S8,0.0,1.68
2026-06-29,S1,4.9,2.01
2026-06-29,S2,6.0,1.67
2026-06-29,S3,6.4,1.89
2026-06-29,S4,4.6,1.76
2026-06-29,S5,6.1,2.17
2026-06-29,S6,4.8,2.15
2026-06-29,S7,5.6,2.34
2026-06-29,S8,7.0,1.69
2026-06-30,S1,0.0,1.89
2026-06-30,S2,0.0,1.54
2026-06-30,S3,0.0,1.75
2026-06-30,S4,0.0,1.64
2026-06-30,S5,0.0,2.04
2026-06-30,S6,0.0,2.02
2026-06-30,S7,0.0,2.21
2026-06-30,S8,0.0,1.57
2026-07-01,S1,0.0,1.8
2026-07-01,S2,0.0,1.43
2026-07-01,S3,0.0,1.64
2026-07-01,S4,0.0,1.54
2026-07-01,S5,0.0,1.94
2026-07-01,S6,0.0,1.91
2026-07-01,S7,0.0,2.09
2026-07-01,S8,0.0,1.46
2026-07-02,S1,0.8,1.73
2026-07-02,S2,1.2,1.37
2026-07-02,S3,1.1,1.57
2026-07-02,S4,1.2,1.47
2026-07-02,S5,1.2,1.87
2026-07-02,S6,0.8,1.83
2026-07-02,S7,0.8,2.0
2026-07-02,S8,0.7,1.39
2026-07-03,S1,0.0,1.66
2026-07-03,S2,0.0,1.28
2026-07-03,S3,0.0,1.48
2026-07-03,S4,0.0,1.4
2026-07-03,S5,0.0,1.78
2026-07-03,S6,0.0,1.75
2026-07-03,S7,0.0,1.92
2026-07-03,S8,0.0,1.31
2026-07-04,S1,0.0,1.6
2026-07-04,S2,0.0,1.21
2026-07-04,S3,0.0,1.41
2026-07-04,S4,0.0,1.33
2026-07-04,S5,0.0,1.71
2026-07-04,S6,0.0,1.67
2026-07-04,S7,0.0,1.84
2026-07-04,S8,0.0,1.24
2026-07-05,S1,0.0,1.54
2026-07-05,S2,0.0,1.15
2026-07-05,S3,0.0,1.34
2026-07-05,S4,0.0,1.27
2026-07-05,S5,0.0,1.65
2026-07-05,S6,0.0,1.61
2026-07-05,S7,0.0,1.78
2026-07-05,S8,0.0,1.18
2026-07-06,S1,0.1,1.5
2026-07-06,S2,0.2,1.11
2026-07-06,S3,0.2,1.3
2026-07-06,S4,0.2,1.23
2026-07-06,S5,0.1,1.61
2026-07-06,S6,0.2,1.57
2026-07-06,S7,0.2,1.73
2026-07-06,S8,0.2,1.14
2026-07-07,S1,0.0,1.46
2026-07-07,S2,0.0,1.06
2026-07-07,S3,0.0,1.25
2026-07-07,S4,0.0,1.19
2026-07-07,S5,0.0,1.56
2026-07-07,S6,0.0,1.52
2026-07-07,S7,0.0,1.68
2026-07-07,S8,0.0,1.1
2026-07-08,S1,0.0,1.43
2026-07-08,S2,0.0,1.03
2026-07-08,S3,0.0,1.21
2026-07-08,S4,0.0,1.15
2026-07-08,S5,0.0,1.53
2026-07-08,S6,0.0,1.49
2026-07-08,S7,0.0,1.65
2026-07-08,S8,0.0,1.06
2026-07-09,S1,0.0,1.4
2026-07-09,S2,0.0,0.99
2026-07-09,S3,0.0,1.18
2026-07-09,S4,0.0,1.12
2026-07-09,S5,0.0,1.49
2026-07-09,S6,0.0,1.45
2026-07-09,S7,0.0,1.61
2026-07-09,S8,0.0,1.03
2026-07-10,S1,14.9,1.68
2026-07-10,S2,11.6,1.2
2026-07-10,S3,11.7,1.38
2026-07-10,S4,12.5,1.35
2026-07-10,S5,12.4,1.72
2026-07-10,S6,11.6,1.66
2026-07-10,S7,10.2,1.79
2026-07-10,S8,12.6,1.26
2026-07-11,S1,0.0,1.61
2026-07-11,S2,0.0,1.14
2026-07-11,S3,0.0,1.33
2026-07-11,S4,0.0,1.29
2026-07-11,S5,0.0,1.66
2026-07-11,S6,0.0,1.6
2026-07-11,S7,0.0,1.73
2026-07-11,S8,0.0,1.2
2026-07-12,S1,0.0,1.56
2026-07-12,S2,0.0,1.09
2026-07-12,S3,0.0,1.28
2026-07-12,S4,0.0,1.24
2026-07-12,S5,0.0,1.6
2026-07-12,S6,0.0,1.55
2026-07-12,S7,0.0,1.69
2026-07-12,S8,0.0,1.15
2026-07-13,S1,5.5,1.62
2026-07-13,S2,4.6,1.14
2026-07-13,S3,6.0,1.35
2026-07-13,S4,5.8,1.31
2026-07-13,S5,5.6,1.67
2026-07-13,S6,4.2,1.59
2026-07-13,S7,4.2,1.73
2026-07-13,S8,3.6,1.18
2026-07-14,S1,5.5,1.68
2026-07-14,S2,3.4,1.16
2026-07-14,S3,4.3,1.39
2026-07-14,S4,4.9,1.36
2026-07-14,S5,3.7,1.69
2026-07-14,S6,5.0,1.65
2026-07-14,S7,4.5,1.78
2026-07-14,S8,3.8,1.21
2026-07-15,S1,0.0,1.61
2026-07-15,S2,0.0,1.11
2026-07-15,S3,0.0,1.33
2026-07-15,S4,0.0,1.3
2026-07-15,S5,0.0,1.64
2026-07-15,S6,0.0,1.59
2026-07-15,S7,0.0,1.72
2026-07-15,S8,0.0,1.15
2026-07-16,S1,2.4,1.61
2026-07-16,S2,2.0,1.11
2026-07-16,S3,2.4,1.32
2026-07-16,S4,2.2,1.29
2026-07-16,S5,2.6,1.64
2026-07-16,S6,2.1,1.59
2026-07-16,S7,2.5,1.73
2026-07-16,S8,2.5,1.16
2026-07-17,S1,0.0,1.55
2026-07-17,S2,0.0,1.06
2026-07-17,S3,0.0,1.27
2026-07-17,S4,0.0,1.24
2026-07-17,S5,0.0,1.59
2026-07-17,S6,0.0,1.54
2026-07-17,S7,0.0,1.68
2026-07-17,S8,0.0,1.11
2026-07-18,S1,8.2,1.67
2026-07-18,S2,7.2,1.17
2026-07-18,S3,7.6,1.38
2026-07-18,S4,6.1,1.32
2026-07-18,S5,5.3,1.66
2026-07-18,S6,6.2,1.62
2026-07-18,S7,6.1,1.77
2026-07-18,S8,6.3,1.2
2026-07-19,S1,0.0,1.61
2026-07-19,S2,0.0,1.12
2026-07-19,S3,0.0,1.33
2026-07-19,S4,0.0,1.27
2026-07-19,S5,0.0,1.61
2026-07-19,S6,0.0,1.57
2026-07-19,S7,0.0,1.72
2026-07-19,S8,0.0,1.15
2026-07-20,S1,4.7,1.65
2026-07-20,S2,4.0,1.15
2026-07-20,S3,4.3,1.36
2026-07-20,S4,4.6,1.31
2026-07-20,S5,4.4,1.65
2026-07-20,S6,3.5,1.6
2026-07-20,S7,2.7,1.73
2026-07-20,S8,3.5,1.18
2026-07-21,S1,0.0,1.59
2026-07-21,S2,0.0,1.1
2026-07-21,S3,0.0,1.31
2026-07-21,S4,0.0,1.26
2026-07-21,S5,0.0,1.6
2026-07-21,S6,0.0,1.55
2026-07-21,S7,0.0,1.68
2026-07-21,S8,0.0,1.13
2026-07-22,S1,0.2,1.54
2026-07-22,S2,0.2,1.06
2026-07-22,S3,0.2,1.26
2026-07-22,S4,0.2,1.22
2026-07-22,S5,0.2,1.56
2026-07-22,S6,0.2,1.51
2026-07-22,S7,0.2,1.65
2026-07-22,S8,0.1,1.09
2026-07-23,S1,4.2,1.58
2026-07-23,S2,6.3,1.15
2026-07-23,S3,4.5,1.31
2026-07-23,S4,5.7,1.29
2026-07-23,S5,4.2,1.61
2026-07-23,S6,5.4,1.58
2026-07-23,S7,4.8,1.71
2026-07-23,S8,5.2,1.16
2026-07-24,S1,0.0,1.53
2026-07-24,S2,0.0,1.1
2026-07-24,S3,0.0,1.27
2026-07-24,S4,0.0,1.24
2026-07-24,S5,0.0,1.57
2026-07-24,S6,0.0,1.54
2026-07-24,S7,0.0,1.67
2026-07-24,S8,0.0,1.12
2026-07-25,S1,8.6,1.66
2026-07-25,S2,8.0,1.22
2026-07-25,S3,8.5,1.39
2026-07-25,S4,9.3,1.38
2026-07-25,S5,6.0,1.65
2026-07-25,S6,5.2,1.6
2026-07-25,S7,5.8,1.75
2026-07-25,S8,5.7,1.19
2026-07-26,S1,0.0,1.6
2026-07-26,S2,0.0,1.16
2026-07-26,S3,0.0,1.33
2026-07-26,S4,0.0,1.32
2026-07-26,S5,0.0,1.6
2026-07-26,S6,0.0,1.55
2026-07-26,S7,0.0,1.7
2026-07-26,S8,0.0,1.14
2026-07-27,S1,0.0,1.55
2026-07-27,S2,0.0,1.11
2026-07-27,S3,0.0,1.28
2026-07-27,S4,0.0,1.27
2026-07-27,S5,0.0,1.56
2026-07-27,S6,0.0,1.51
2026-07-27,S7,0.0,1.66
2026-07-27,S8,0.0,1.1
2026-07-28,S1,8.8,1.68
2026-07-28,S2,6.3,1.19
2026-07-28,S3,9.6,1.43
2026-07-28,S4,9.9,1.42
2026-07-28,S5,8.7,1.69
2026-07-28,S6,6.3,1.6
2026-07-28,S7,10.6,1.83
2026-07-28,S8,9.6,1.26
2026-07-29,S1,3.6,1.69
2026-07-29,S2,3.9,1.21
2026-07-29,S3,3.5,1.44
2026-07-29,S4,4.7,1.44
2026-07-29,S5,4.7,1.73
2026-07-29,S6,3.0,1.61
2026-07-29,S7,5.0,1.87
2026-07-29,S8,4.2,1.28
2026-07-30,S1,0.0,1.62
2026-07-30,S2,0.0,1.15
2026-07-30,S3,0.0,1.37
2026-07-30,S4,0.0,1.37
2026-07-30,S5,0.0,1.67
2026-07-30,S6,0.0,1.56
2026-07-30,S7,0.0,1.81
2026-07-30,S8,0.0,1.22
2026-07-31,S1,7.9,1.72
2026-07-31,S2,11.1,1.33
2026-07-31,S3,11.0,1.53
2026-07-31,S4,6.9,1.45
2026-07-31,S5,11.3,1.84
2026-07-31,S6,7.8,1.67
2026-07-31,S7,9.0,1.93
2026-07-31,S8,9.8,1.36
2026-08-01,S1,0.2,1.66
2026-08-01,S2,0.2,1.25
2026-08-01,S3,0.2,1.46
2026-08-01,S4,0.2,1.38
2026-08-01,S5,0.2,1.77
2026-08-01,S6,0.3,1.62
2026-08-01,S7,0.2,1.86
2026-08-01,S8,0.2,1.29
2026-08-02,S1,15.6,1.91
2026-08-02,S2,23.4,1.66
2026-08-02,S3,20.6,1.8
2026-08-02,S4,23.9,1.79
2026-08-02,S5,23.1,2.16
2026-08-02,S6,22.5,2.02
2026-08-02,S7,20.6,2.2
2026-08-02,S8,24.3,1.71
2026-08-03,S1,2.0,1.85
2026-08-03,S2,1.5,1.56
2026-08-03,S3,1.8,1.71
2026-08-03,S4,1.7,1.7
2026-08-03,S5,1.8,2.07
2026-08-03,S6,1.7,1.94
2026-08-03,S7,2.0,2.13
2026-08-03,S8,1.6,1.62
2026-08-04,S1,0.0,1.76
2026-08-04,S2,0.0,1.45
2026-08-04,S3,0.0,1.6
2026-08-04,S4,0.0,1.59
2026-08-04,S5,0.0,1.96
2026-08-04,S6,0.0,1.84
2026-08-04,S7,0.0,2.02
2026-08-04,S8,0.0,1.5
2026-08-05,S1,5.3,1.79
2026-08-05,S2,6.0,1.47
